Int_Type,Org_Type,Value
C,Inverts,32.9
M,Inverts,15.6
P,Inverts,75
C,Other,0.7
M,Other,0
P,Other,4.2
C,Plants,59.4
M,Plants,84.4
P,Plants,1.7
C,Verts,7
M,Verts,0
P,Verts,19.2
